"127"	"26"
"128"	"26"
"191"	"26"
"193"	"26"
"211"	"26"
"212"	"26"
"125"	"63"
"145"	"63"
"221"	"63"
"6"	"26"
"6"	"63"
"47"	"26"
"47"	"63"
"148"	"26"
"148"	"63"
"70"	"125"
"56"	"145"
"57"	"145"
"58"	"145"
"86"	"145"
"87"	"145"
"110"	"145"
"119"	"145"
"169"	"145"
"189"	"145"
"205"	"145"
"233"	"26"
"233"	"145"
"242"	"177"
"242"	"145"
"14"	"63"
"14"	"177"
"14"	"145"
"17"	"63"
"17"	"177"
"17"	"145"
"27"	"63"
"27"	"177"
"27"	"145"
"69"	"26"
"69"	"63"
"69"	"145"
"106"	"63"
"106"	"177"
"106"	"145"
"117"	"26"
"117"	"63"
"117"	"145"
"165"	"26"
"165"	"63"
"165"	"145"
"209"	"26"
"209"	"63"
"209"	"145"
"7"	"26"
"7"	"63"
"7"	"230"
"7"	"145"
"194"	"26"
"194"	"221"
"213"	"26"
"213"	"221"
"214"	"26"
"214"	"230"
"214"	"221"
"25"	"177"
"25"	"145"
"25"	"242"
"13"	"26"
"13"	"63"
"13"	"145"
"13"	"242"
"118"	"63"
"118"	"230"
"118"	"145"
"118"	"242"
"166"	"63"
"166"	"177"
"166"	"145"
"166"	"242"
"228"	"63"
"228"	"230"
"228"	"145"
"228"	"242"
"237"	"63"
"237"	"177"
"237"	"145"
"237"	"242"
"31"	"63"
"31"	"177"
"31"	"145"
"31"	"242"
"231"	"14"
"231"	"17"
"109"	"63"
"109"	"177"
"109"	"145"
"109"	"242"
"109"	"27"
"22"	"145"
"22"	"242"
"22"	"25"
"126"	"145"
"126"	"13"
"85"	"26"
"85"	"63"
"85"	"145"
"85"	"13"
"59"	"26"
"59"	"63"
"59"	"145"
"59"	"27"
"59"	"166"
"21"	"26"
"21"	"63"
"21"	"145"
"21"	"221"
"21"	"189"
"21"	"27"
"21"	"117"
"21"	"166"
"21"	"228"
"21"	"237"
"55"	"26"
"55"	"145"
"55"	"221"
"55"	"25"
"55"	"118"
"55"	"31"
"143"	"119"
"143"	"22"
"107"	"26"
"107"	"126"
"163"	"145"
"163"	"126"
"178"	"145"
"178"	"126"
"68"	"26"
"68"	"221"
"68"	"27"
"68"	"117"
"68"	"166"
"68"	"228"
"68"	"21"
"37"	"26"
"37"	"145"
"37"	"13"
"37"	"68"
"60"	"26"
"60"	"63"
"60"	"177"
"60"	"145"
"60"	"221"
"60"	"242"
"60"	"27"
"60"	"209"
"60"	"25"
"60"	"13"
"60"	"166"
"60"	"228"
"60"	"109"
"60"	"68"
"95"	"68"
"95"	"60"
"82"	"26"
"82"	"63"
"82"	"125"
"82"	"145"
"82"	"221"
"82"	"189"
"82"	"233"
"82"	"27"
"82"	"106"
"82"	"25"
"82"	"13"
"82"	"118"
"82"	"228"
"82"	"237"
"82"	"109"
"82"	"55"
"82"	"60"
"11"	"26"
"11"	"109"
"11"	"82"
"190"	"26"
"190"	"63"
"190"	"82"
"220"	"26"
"220"	"27"
"220"	"82"
"66"	"26"
"66"	"55"
"66"	"60"
"66"	"82"
"129"	"125"
"129"	"55"
"129"	"60"
"129"	"82"
"64"	"27"
"64"	"109"
"64"	"68"
"64"	"60"
"64"	"82"
"65"	"27"
"65"	"109"
"65"	"68"
"65"	"60"
"65"	"82"
"235"	"27"
"235"	"109"
"235"	"68"
"235"	"60"
"235"	"82"
"241"	"125"
"241"	"145"
"241"	"27"
"241"	"13"
"241"	"82"
"236"	"125"
"236"	"14"
"236"	"17"
"236"	"27"
"236"	"109"
"236"	"126"
"236"	"82"
"131"	"189"
"131"	"27"
"131"	"25"
"131"	"13"
"131"	"109"
"131"	"68"
"131"	"60"
"131"	"82"
"204"	"26"
"204"	"63"
"204"	"230"
"204"	"145"
"204"	"221"
"204"	"242"
"204"	"27"
"204"	"25"
"204"	"228"
"204"	"109"
"204"	"21"
"204"	"68"
"204"	"60"
"204"	"82"
"204"	"220"
"113"	"26"
"113"	"221"
"113"	"204"
"195"	"26"
"195"	"230"
"195"	"221"
"195"	"204"
"210"	"26"
"210"	"230"
"210"	"119"
"210"	"228"
"210"	"204"
"2"	"26"
"2"	"230"
"2"	"55"
"2"	"60"
"2"	"82"
"2"	"204"
"35"	"26"
"35"	"230"
