Size	Connectance	Basal_p	Network	Species	Persistence	in_Degree	out_Degree	STL	m12	m36	m38	m6	p(12, 0, 1)	p(12, 1, 0)	p(12, 1, 1)	p(36, 0, 1)	p(36, 2, 0)	p(38, 0, 2)	p(38, 1, 1)	p(38, 2, 0)	p(6, 0, 2)	p(6, 1, 0)
260	0.024	0.0	kongsfjorden	"sp134"	0.81088	2	4	2	17	230	2	64	0	10	7	225	5	0	1	1	1	63
260	0.024	0.0	kongsfjorden	"sp119"	0.8096	2	9	2	38	295	15	276	0	27	11	267	28	0	7	8	1	275
260	0.024	0.0	kongsfjorden	"sp98"	0.90031	0	7	1	58	17	4	147	0	58	0	0	17	0	0	4	0	147
260	0.024	0.0	kongsfjorden	"sp217"	0.81026	2	3	2	17	275	2	132	0	13	4	272	3	0	2	0	1	131
260	0.024	0.0	kongsfjorden	"sp159"	0.80802	2	8	2	23	285	17	128	0	17	6	264	21	0	10	7	1	127
260	0.024	0.0	kongsfjorden	"sp105"	0.8088	2	10	2	41	298	21	283	0	30	11	265	33	0	9	12	1	282
260	0.024	0.0	kongsfjorden	"sp175"	0.8081	2	1	2	5	274	0	78	0	3	2	274	0	0	0	0	1	77
260	0.024	0.0	kongsfjorden	"sp195"	0.80799	2	6	2	32	283	6	200	0	24	8	270	13	0	4	2	1	199
260	0.024	0.0	kongsfjorden	"sp126"	0.71732	43	6	3	458	151	78	1009	227	0	231	149	2	38	27	13	865	144
260	0.024	0.0	kongsfjorden	"sp169"	0.80893	22	7	2	168	314	40	291	0	41	127	306	8	0	27	13	231	60
260	0.024	0.0	kongsfjorden	"sp181"	0.78093	6	3	2	26	328	8	114	1	9	16	327	1	4	2	2	11	103
260	0.024	0.0	kongsfjorden	"sp102"	0.80973	3	4	2	19	327	11	64	0	18	1	321	6	0	11	0	3	61
260	0.024	0.0	kongsfjorden	"sp243"	0.8094	2	1	2	8	226	0	28	0	6	2	226	0	0	0	0	1	27
260	0.024	0.0	kongsfjorden	"sp86"	0.89997	0	17	1	34	127	9	368	0	34	0	0	127	0	0	9	0	368
260	0.024	0.0	kongsfjorden	"sp254"	0.81045	3	10	2	39	350	27	133	0	31	8	310	40	0	22	5	3	130
260	0.024	0.0	kongsfjorden	"sp91"	0.74343	8	2	2	53	299	12	103	34	5	14	299	0	9	2	1	19	84
260	0.024	0.0	kongsfjorden	"sp141"	0.80941	2	2	2	7	272	3	90	0	5	2	272	0	0	2	1	1	89
260	0.024	0.0	kongsfjorden	"sp78"	0.74954	4	1	2	29	107	3	80	22	3	4	107	0	3	0	0	3	77
260	0.024	0.0	kongsfjorden	"sp15"	0.80821	2	2	2	12	226	1	84	0	9	3	225	1	0	1	0	1	83
260	0.024	0.0	kongsfjorden	"sp65"	0.80851	2	5	2	11	272	12	108	0	9	2	266	6	0	8	4	1	107
260	0.024	0.0	kongsfjorden	"sp227"	0.80939	1	3	2	12	107	2	105	0	9	3	106	1	0	0	2	0	105
260	0.024	0.0	kongsfjorden	"sp39"	0.80863	2	1	2	5	274	0	78	0	3	2	274	0	0	0	0	1	77
260	0.024	0.0	kongsfjorden	"sp42"	0.90231	0	6	1	53	12	3	140	0	53	0	0	12	0	0	3	0	140
260	0.024	0.0	kongsfjorden	"sp54"	0.80767	2	1	2	5	274	0	78	0	3	2	274	0	0	0	0	1	77
260	0.024	0.0	kongsfjorden	"sp237"	0.89981	0	6	1	53	12	3	140	0	53	0	0	12	0	0	3	0	140
260	0.024	0.0	kongsfjorden	"sp23"	0.80882	3	4	2	20	333	5	112	0	10	10	330	3	0	2	3	3	109
260	0.024	0.0	kongsfjorden	"sp167"	0.80846	3	1	2	4	301	0	33	0	1	3	301	0	0	0	0	3	30
260	0.024	0.0	kongsfjorden	"sp157"	0.80889	2	1	2	5	274	0	78	0	3	2	274	0	0	0	0	1	77
