"Network" "S" "C" "Disturbance" "Motif" "Motif_slope"
"4" "50" "0.02" "0" "Direct" "0.374382127951216"
"4" "50" "0.02" "0.2" "Omnivory" "-0.39890304630619"
"4" "50" "0.02" "0.2" "Chain" "0.0139709432375455"
"4" "50" "0.02" "0.2" "Apparent" "-0.0417375326433443"
"4" "50" "0.02" "0.2" "Direct" "0.350287063049413"
"4" "50" "0.02" "0.4" "Omnivory" "-0.407297315178825"
"4" "50" "0.02" "0.4" "Chain" "-0.0577976391538522"
"4" "50" "0.02" "0.4" "Apparent" "0.0477767032927638"
"4" "50" "0.02" "0.4" "Direct" "0.30608450088537"
"4" "50" "0.02" "0.6" "Omnivory" "-0.363369424852488"
"4" "50" "0.02" "0.6" "Chain" "-0.142084179793742"
"4" "50" "0.02" "0.6" "Apparent" "0.130670015099467"
"4" "50" "0.02" "0.6" "Direct" "0.250587701599519"
"4" "50" "0.02" "0.8" "Omnivory" "-0.282984903470442"
"4" "50" "0.02" "0.8" "Chain" "-0.231910668125908"
"4" "50" "0.02" "0.8" "Apparent" "0.202574211098476"
"4" "50" "0.02" "0.8" "Direct" "0.192877809069934"
"4" "50" "0.02" "1" "Omnivory" "-0.211041744608267"
"4" "50" "0.02" "1" "Chain" "-0.331423654710723"
"4" "50" "0.02" "1" "Apparent" "0.286628692083472"
"4" "50" "0.02" "1" "Direct" "0.13339228957489"
"5" "50" "0.02" "0" "Omnivory" "0.0615018128136937"
"5" "50" "0.02" "0" "Chain" "-0.24551001261259"
"5" "50" "0.02" "0" "Apparent" "-0.100127135158456"
"5" "50" "0.02" "0" "Direct" "0.404011815917428"
"5" "50" "0.02" "0.2" "Omnivory" "-0.0283125646700536"
"5" "50" "0.02" "0.2" "Chain" "-0.245610142475103"
"5" "50" "0.02" "0.2" "Apparent" "-0.0587306197746643"
"5" "50" "0.02" "0.2" "Direct" "0.388972671279375"
"5" "50" "0.02" "0.4" "Omnivory" "-0.12690761084164"
"5" "50" "0.02" "0.4" "Chain" "-0.261596901085654"
"5" "50" "0.02" "0.4" "Apparent" "-0.015920021233807"
"5" "50" "0.02" "0.4" "Direct" "0.395594037330429"
"5" "50" "0.02" "0.6" "Omnivory" "-0.229295260381106"
"5" "50" "0.02" "0.6" "Chain" "-0.287010764323871"
"5" "50" "0.02" "0.6" "Apparent" "0.0214530840311471"
"5" "50" "0.02" "0.6" "Direct" "0.422088858437544"
"5" "50" "0.02" "0.8" "Omnivory" "-0.315797350901177"
"5" "50" "0.02" "0.8" "Chain" "-0.312299477940957"
"5" "50" "0.02" "0.8" "Apparent" "0.0463808510843652"
"5" "50" "0.02" "0.8" "Direct" "0.456073885405218"
"5" "50" "0.02" "1" "Omnivory" "-0.435478394292013"
"5" "50" "0.02" "1" "Chain" "-0.360758140000457"
"5" "50" "0.02" "1" "Apparent" "0.0965216175357308"
"5" "50" "0.02" "1" "Direct" "0.495864860328558"
"6" "50" "0.02" "0" "Omnivory" "-0.064556869515761"
"6" "50" "0.02" "0" "Chain" "0.220405027287256"
"6" "50" "0.02" "0" "Apparent" "-0.387736639819123"
"6" "50" "0.02" "0" "Direct" "0.471028488389056"
"6" "50" "0.02" "0.2" "Omnivory" "-0.220763264587442"
"6" "50" "0.02" "0.2" "Chain" "0.18132385761157"
"6" "50" "0.02" "0.2" "Apparent" "-0.266670952102833"
"6" "50" "0.02" "0.2" "Direct" "0.425249586525575"
"6" "50" "0.02" "0.4" "Omnivory" "-0.277987198211077"
"6" "50" "0.02" "0.4" "Chain" "0.100309391556794"
"6" "50" "0.02" "0.4" "Apparent" "-0.173983084350379"
"6" "50" "0.02" "0.4" "Direct" "0.397246934366852"
"6" "50" "0.02" "0.6" "Omnivory" "-0.290337593821537"
"6" "50" "0.02" "0.6" "Chain" "-0.0042606266167744"
"6" "50" "0.02" "0.6" "Apparent" "-0.0944639605098347"
"6" "50" "0.02" "0.6" "Direct" "0.383232777402475"
"6" "50" "0.02" "0.8" "Omnivory" "-0.26837079940563"
"6" "50" "0.02" "0.8" "Chain" "-0.130297003917584"
"6" "50" "0.02" "0.8" "Apparent" "-0.0177960943057047"
"6" "50" "0.02" "0.8" "Direct" "0.370860151730946"
"6" "50" "0.02" "1" "Omnivory" "-0.230445427129713"
"6" "50" "0.02" "1" "Chain" "-0.269878991240545"
"6" "50" "0.02" "1" "Apparent" "0.0672319139498504"
"6" "50" "0.02" "1" "Direct" "0.345715209309287"
"7" "50" "0.02" "0" "Omnivory" "-0.141143073716265"
"7" "50" "0.02" "0" "Chain" "0.087225560740443"
"7" "50" "0.02" "0" "Apparent" "-0.124222514646422"
"7" "50" "0.02" "0" "Direct" "0.166928029621417"
"7" "50" "0.02" "0.2" "Omnivory" "-0.229812587855211"
"7" "50" "0.02" "0.2" "Chain" "0.0781558685479953"
"7" "50" "0.02" "0.2" "Apparent" "-0.059974199682487"
"7" "50" "0.02" "0.2" "Direct" "0.141740932015115"
"7" "50" "0.02" "0.4" "Omnivory" "-0.302691626918279"
"7" "50" "0.02" "0.4" "Chain" "0.0178704534937841"
"7" "50" "0.02" "0.4" "Apparent" "0.0198246007950684"
"7" "50" "0.02" "0.4" "Direct" "0.138889989223062"
"7" "50" "0.02" "0.6" "Omnivory" "-0.35680448175331"
"7" "50" "0.02" "0.6" "Chain" "-0.068842426846527"
"7" "50" "0.02" "0.6" "Apparent" "0.104046920255255"
"7" "50" "0.02" "0.6" "Direct" "0.145945334212195"
"7" "50" "0.02" "0.8" "Omnivory" "-0.401676688578693"
"7" "50" "0.02" "0.8" "Chain" "-0.175522323054257"
"7" "50" "0.02" "0.8" "Apparent" "0.194243879238933"
